26-04-25 14:21:42.674 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [net.engineeringdigest.journalApp.JournalAppApplicationTests], using SpringBootContextLoader
26-04-25 14:21:42.683 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [net.engineeringdigest.journalApp.JournalAppApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
26-04-25 14:21:42.684 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [net.engineeringdigest.journalApp.JournalAppApplicationTests]: JournalAppApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
26-04-25 14:21:42.805 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration net.engineeringdigest.journalApp.JournalApplication for test class net.engineeringdigest.journalApp.JournalAppApplicationTests
26-04-25 14:21:42.884 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
26-04-25 14:21:42.899 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@24bdb479, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@7e3f95fe, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@34625ccd, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@2c7d121c, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@65aa6596, org.springframework.test.context.support.DirtiesContextTestExecutionListener@67389cb8, org.springframework.test.context.transaction.TransactionalTestExecutionListener@419a20a6, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@533377b, org.springframework.test.context.event.EventPublishingTestExecutionListener@3383649e, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@10fde30a, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@f27ea3, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@1ce61929, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@346939bf, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@4bf3798b, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@58670130]
26-04-25 14:21:43.208 [main] INFO  n.e.j.JournalAppApplicationTests - Starting JournalAppApplicationTests using Java 1.8.0_461 on myLoq with PID 29236 (started by chira in C:\Users\chira\Downloads\journalApp\journalApp)
26-04-25 14:21:43.209 [main] DEBUG n.e.j.JournalAppApplicationTests - Running with Spring Boot v2.7.16, Spring v5.3.30
26-04-25 14:21:43.209 [main] INFO  n.e.j.JournalAppApplicationTests - The following 1 profile is active: "dev"
26-04-25 14:21:43.677 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
26-04-25 14:21:43.727 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 46 ms. Found 2 MongoDB repository interfaces.
